"x","y","L1","L2","L3"
287705.376614506,8664205.17677985,45,27,28
287705.436468457,8664205.17677985,46,25,37
287705.496322409,8664205.17677985,43,28,36
287705.556176361,8664205.17677985,42,30,34
287705.616030312,8664205.17677985,52,30,30
287705.675884264,8664205.17677985,46,34,37
287705.735738216,8664205.17677985,69,29,41
287705.795592167,8664205.17677985,92,31,46
287705.855446119,8664205.17677985,95,38,55
287705.91530007,8664205.17677985,111,25,72
287705.975154022,8664205.17677985,109,30,63
287706.035007974,8664205.17677985,111,26,59
287706.094861925,8664205.17677985,100,27,59
287706.154715877,8664205.17677985,95,24,48
287706.214569829,8664205.17677985,86,22,42
287706.27442378,8664205.17677985,69,31,30
287706.334277732,8664205.17677985,67,28,38
287706.394131683,8664205.17677985,68,26,30
287706.453985635,8664205.17677985,58,25,31
287706.513839587,8664205.17677985,45,28,34
287706.573693538,8664205.17677985,58,23,30
287706.63354749,8664205.17677985,58,29,40
287706.693401442,8664205.17677985,77,31,39
287706.753255393,8664205.17677985,96,28,52
287706.813109345,8664205.17677985,100,38,45
287706.872963296,8664205.17677985,113,25,45
287706.932817248,8664205.17677985,102,18,55
287706.9926712,8664205.17677985,92,21,43
287707.052525151,8664205.17677985,98,10,48
287707.112379103,8664205.17677985,93,17,45
287707.172233055,8664205.17677985,82,24,49
287707.232087006,8664205.17677985,77,21,59
287707.291940958,8664205.17677985,73,34,27
287707.351794909,8664205.17677985,63,27,40
287707.411648861,8664205.17677985,80,21,41
287707.471502813,8664205.17677985,93,21,46
287707.531356764,8664205.17677985,96,22,60
287707.591210716,8664205.17677985,101,27,57
287707.651064668,8664205.17677985,100,33,59
287707.710918619,8664205.17677985,110,29,55
287707.770772571,8664205.17677985,104,31,55
287707.830626522,8664205.17677985,93,21,54
287707.890480474,8664205.17677985,80,19,51
287707.950334426,8664205.17677985,66,21,41
287708.010188377,8664205.17677985,60,16,40
287708.070042329,8664205.17677985,53,13,38
287708.12989628,8664205.17677985,53,11,29
287708.189750232,8664205.17677985,47,13,24
287708.249604184,8664205.17677985,47,13,24
287708.309458135,8664205.17677985,60,7,20
287708.369312087,8664205.17677985,60,9,29
287708.429166039,8664205.17677985,79,12,23
287708.48901999,8664205.17677985,88,17,39
287708.548873942,8664205.17677985,92,23,55
