"x","y","L1","L2","L3"
287697.835016594,8664202.96218368,51,37,32
287697.894870545,8664202.96218368,56,41,29
287697.954724497,8664202.96218368,61,41,39
287698.014578449,8664202.96218368,63,51,43
287698.0744324,8664202.96218368,62,47,45
287698.134286352,8664202.96218368,53,46,49
287698.194140304,8664202.96218368,55,39,36
287698.253994255,8664202.96218368,64,26,34
287698.313848207,8664202.96218368,64,22,36
287698.373702158,8664202.96218368,77,15,33
287698.43355611,8664202.96218368,87,14,27
287698.493410062,8664202.96218368,86,17,25
287698.553264013,8664202.96218368,76,10,30
287698.613117965,8664202.96218368,71,12,28
287698.672971917,8664202.96218368,67,15,26
287698.732825868,8664202.96218368,63,15,28
287698.79267982,8664202.96218368,63,15,28
287698.852533771,8664202.96218368,61,14,32
287698.912387723,8664202.96218368,57,13,34
287698.972241675,8664202.96218368,49,20,33
287699.032095626,8664202.96218368,44,25,35
287699.091949578,8664202.96218368,44,27,30
287699.15180353,8664202.96218368,46,28,27
287699.211657481,8664202.96218368,47,29,27
287699.271511433,8664202.96218368,54,29,27
287699.331365384,8664202.96218368,57,27,38
287699.391219336,8664202.96218368,65,28,38
287699.451073288,8664202.96218368,75,27,38
287699.510927239,8664202.96218368,70,29,42
287699.570781191,8664202.96218368,90,20,54
287699.630635143,8664202.96218368,96,18,49
287699.690489094,8664202.96218368,101,16,43
287699.750343046,8664202.96218368,79,21,45
287699.810196997,8664202.96218368,61,21,48
287699.870050949,8664202.96218368,67,19,39
287699.929904901,8664202.96218368,61,28,35
287699.989758852,8664202.96218368,51,38,32
287700.049612804,8664202.96218368,52,32,34
287700.109466756,8664202.96218368,49,31,37
287700.169320707,8664202.96218368,47,30,36
287700.229174659,8664202.96218368,47,30,36
287700.28902861,8664202.96218368,53,28,33
287700.348882562,8664202.96218368,52,30,38
287700.408736514,8664202.96218368,74,26,35
287700.468590465,8664202.96218368,94,18,49
287700.528444417,8664202.96218368,95,19,57
287700.588298369,8664202.96218368,104,21,52
287700.64815232,8664202.96218368,110,19,50
287700.708006272,8664202.96218368,115,19,47
287700.767860223,8664202.96218368,116,17,54
287700.827714175,8664202.96218368,119,12,64
287700.887568127,8664202.96218368,120,11,64
287700.947422078,8664202.96218368,120,13,62
287701.00727603,8664202.96218368,101,25,55
287701.067129981,8664202.96218368,94,18,51
287701.126983933,8664202.96218368,86,18,40
287701.186837885,8664202.96218368,91,11,37
287701.246691836,8664202.96218368,102,9,40
287701.306545788,8664202.96218368,105,10,46
287701.36639974,8664202.96218368,107,13,47
287701.426253691,8664202.96218368,113,14,48
287701.486107643,8664202.96218368,121,14,48
287701.545961594,8664202.96218368,114,18,52
287701.605815546,8664202.96218368,98,22,43
287701.665669498,8664202.96218368,90,23,40
287701.725523449,8664202.96218368,86,17,41
287701.785377401,8664202.96218368,78,12,45
287701.845231352,8664202.96218368,66,19,35
287701.905085304,8664202.96218368,59,19,37
287701.964939256,8664202.96218368,59,19,37
287702.024793207,8664202.96218368,50,24,37
287702.084647159,8664202.96218368,51,27,36
287702.144501111,8664202.96218368,53,30,36
287702.204355062,8664202.96218368,50,33,37
287702.264209014,8664202.96218368,54,29,37
287702.324062965,8664202.96218368,48,34,24
287702.383916917,8664202.96218368,55,30,20
287702.443770869,8664202.96218368,62,18,34
287702.50362482,8664202.96218368,68,13,35
287702.563478772,8664202.96218368,72,9,37
287702.623332724,8664202.96218368,61,18,35
287702.683186675,8664202.96218368,55,26,21
287702.743040627,8664202.96218368,48,28,24
287702.802894578,8664202.96218368,46,28,26
287702.86274853,8664202.96218368,46,27,24
287702.922602482,8664202.96218368,48,25,23
287702.982456433,8664202.96218368,49,25,23
287703.042310385,8664202.96218368,43,26,25
287703.102164337,8664202.96218368,45,23,32
287703.162018288,8664202.96218368,41,27,29
287703.22187224,8664202.96218368,40,27,29
287703.281726191,8664202.96218368,49,23,30
287703.341580143,8664202.96218368,55,23,30
287703.401434095,8664202.96218368,51,27,27
287703.461288046,8664202.96218368,44,26,43
287703.521141998,8664202.96218368,44,33,35
287703.58099595,8664202.96218368,49,29,33
287703.640849901,8664202.96218368,48,26,33
287703.700703853,8664202.96218368,44,31,30
287703.760557804,8664202.96218368,35,38,29
287703.820411756,8664202.96218368,33,35,29
287703.880265708,8664202.96218368,37,29,30
287703.940119659,8664202.96218368,39,29,28
287703.999973611,8664202.96218368,43,27,26
287704.059827563,8664202.96218368,42,30,27
287704.119681514,8664202.96218368,39,36,27
287704.179535466,8664202.96218368,48,32,25
287704.239389417,8664202.96218368,48,32,25
287704.299243369,8664202.96218368,43,31,30
287704.359097321,8664202.96218368,39,31,33
287704.418951272,8664202.96218368,43,28,34
287704.478805224,8664202.96218368,49,24,36
287704.538659176,8664202.96218368,56,20,35
287704.598513127,8664202.96218368,57,27,31
287704.658367079,8664202.96218368,58,30,32
287704.71822103,8664202.96218368,56,34,37
287704.778074982,8664202.96218368,55,43,32
287704.837928934,8664202.96218368,62,42,31
287704.897782885,8664202.96218368,57,44,32
287704.957636837,8664202.96218368,60,33,40
287705.017490788,8664202.96218368,60,32,30
287705.07734474,8664202.96218368,56,33,28
287705.137198692,8664202.96218368,48,34,29
287705.197052643,8664202.96218368,50,31,32
287705.256906595,8664202.96218368,56,25,36
287705.316760547,8664202.96218368,58,27,38
287705.376614498,8664202.96218368,53,34,34
287705.43646845,8664202.96218368,54,33,34
287705.496322401,8664202.96218368,53,32,35
287705.556176353,8664202.96218368,50,34,35
287705.616030305,8664202.96218368,56,36,35
287705.675884256,8664202.96218368,61,36,43
287705.735738208,8664202.96218368,55,48,34
287705.795592159,8664202.96218368,57,45,35
287697.835016594,8664202.90232973,52,34,37
287697.894870545,8664202.90232973,68,35,33
287697.954724497,8664202.90232973,79,37,39
287698.014578449,8664202.90232973,62,59,41
287698.0744324,8664202.90232973,65,52,49
287698.134286352,8664202.90232973,46,60,41
287698.194140304,8664202.90232973,45,46,38
287698.253994255,8664202.90232973,59,26,33
287698.313848207,8664202.90232973,62,25,20
287698.373702158,8664202.90232973,71,14,24
287698.43355611,8664202.90232973,74,13,23
287698.493410062,8664202.90232973,75,12,26
287698.553264013,8664202.90232973,56,21,24
287698.613117965,8664202.90232973,54,19,25
287698.672971917,8664202.90232973,51,21,25
287698.732825868,8664202.90232973,55,21,23
287698.79267982,8664202.90232973,55,21,23
287698.852533771,8664202.90232973,60,17,25
287698.912387723,8664202.90232973,56,16,28
287698.972241675,8664202.90232973,48,20,33
287699.032095626,8664202.90232973,44,24,37
287699.091949578,8664202.90232973,45,28,29
287699.15180353,8664202.90232973,47,26,31
287699.211657481,8664202.90232973,50,26,34
287699.271511433,8664202.90232973,64,23,33
287699.331365384,8664202.90232973,73,22,40
287699.391219336,8664202.90232973,82,24,40
287699.451073288,8664202.90232973,93,23,42
287699.510927239,8664202.90232973,88,27,45
287699.570781191,8664202.90232973,112,14,59
287699.630635143,8664202.90232973,117,11,57
287699.690489094,8664202.90232973,122,11,50
287699.750343046,8664202.90232973,89,21,53
287699.810196997,8664202.90232973,62,23,57
287699.870050949,8664202.90232973,66,24,38
287699.929904901,8664202.90232973,60,29,35
287699.989758852,8664202.90232973,54,34,33
287700.049612804,8664202.90232973,55,27,39
287700.109466756,8664202.90232973,50,28,39
287700.169320707,8664202.90232973,47,27,40
287700.229174659,8664202.90232973,47,27,40
287700.28902861,8664202.90232973,59,21,42
287700.348882562,8664202.90232973,61,29,37
287700.408736514,8664202.90232973,76,31,33
287700.468590465,8664202.90232973,92,20,57
287700.528444417,8664202.90232973,94,26,52
287700.588298369,8664202.90232973,110,18,49
287700.64815232,8664202.90232973,110,19,49
287700.708006272,8664202.90232973,112,20,46
287700.767860223,8664202.90232973,113,15,58
287700.827714175,8664202.90232973,116,16,57
287700.887568127,8664202.90232973,117,17,56
287700.947422078,8664202.90232973,122,15,53
287701.00727603,8664202.90232973,103,20,57
287701.067129981,8664202.90232973,86,20,47
287701.126983933,8664202.90232973,77,20,36
287701.186837885,8664202.90232973,62,21,36
287701.246691836,8664202.90232973,79,10,37
287701.306545788,8664202.90232973,88,12,31
287701.36639974,8664202.90232973,93,11,37
287701.426253691,8664202.90232973,97,12,42
287701.486107643,8664202.90232973,101,12,48
287701.545961594,8664202.90232973,106,13,53
287701.605815546,8664202.90232973,87,21,41
287701.665669498,8664202.90232973,87,17,43
287701.725523449,8664202.90232973,76,16,48
287701.785377401,8664202.90232973,65,17,47
287701.845231352,8664202.90232973,63,17,44
287701.905085304,8664202.90232973,58,22,33
287701.964939256,8664202.90232973,53,24,32
287702.024793207,8664202.90232973,53,24,32
287702.084647159,8664202.90232973,45,34,24
287702.144501111,8664202.90232973,47,33,33
287702.204355062,8664202.90232973,49,28,51
287702.264209014,8664202.90232973,50,33,37
287702.324062965,8664202.90232973,54,29,37
287702.383916917,8664202.90232973,48,34,24
287702.443770869,8664202.90232973,45,31,26
287702.50362482,8664202.90232973,46,23,37
287702.563478772,8664202.90232973,45,24,35
287702.623332724,8664202.90232973,52,27,31
287702.683186675,8664202.90232973,56,25,31
287702.743040627,8664202.90232973,54,26,31
287702.802894578,8664202.90232973,47,29,30
287702.86274853,8664202.90232973,46,26,32
287702.922602482,8664202.90232973,48,22,31
287702.982456433,8664202.90232973,49,23,27
287703.042310385,8664202.90232973,48,22,30
287703.102164337,8664202.90232973,55,21,26
287703.162018288,8664202.90232973,48,24,25
287703.22187224,8664202.90232973,41,30,22
287703.281726191,8664202.90232973,50,31,15
287703.341580143,8664202.90232973,60,22,29
287703.401434095,8664202.90232973,57,23,29
287703.461288046,8664202.90232973,54,27,27
287703.521141998,8664202.90232973,49,32,25
287703.58099595,8664202.90232973,48,26,33
287703.640849901,8664202.90232973,50,23,36
287703.700703853,8664202.90232973,48,30,33
287703.760557804,8664202.90232973,36,41,27
287703.820411756,8664202.90232973,36,34,29
287703.880265708,8664202.90232973,43,26,31
287703.940119659,8664202.90232973,43,27,28
287703.999973611,8664202.90232973,42,26,31
287704.059827563,8664202.90232973,36,31,32
287704.119681514,8664202.90232973,36,36,25
287704.179535466,8664202.90232973,42,33,26
287704.239389417,8664202.90232973,42,33,26
287704.299243369,8664202.90232973,40,33,29
287704.359097321,8664202.90232973,41,31,29
287704.418951272,8664202.90232973,46,29,27
287704.478805224,8664202.90232973,48,28,29
287704.538659176,8664202.90232973,54,25,30
287704.598513127,8664202.90232973,51,27,42
287704.658367079,8664202.90232973,58,31,32
287704.71822103,8664202.90232973,60,33,40
287704.778074982,8664202.90232973,55,41,40
287704.837928934,8664202.90232973,58,38,45
287704.897782885,8664202.90232973,53,42,40
287704.957636837,8664202.90232973,53,37,40
287705.017490788,8664202.90232973,50,39,27
287705.07734474,8664202.90232973,44,39,27
287705.137198692,8664202.90232973,43,35,30
287705.197052643,8664202.90232973,52,32,31
287705.256906595,8664202.90232973,54,28,37
287705.316760547,8664202.90232973,55,32,35
287705.376614498,8664202.90232973,50,36,35
287705.43646845,8664202.90232973,51,36,32
287705.496322401,8664202.90232973,51,36,29
287705.556176353,8664202.90232973,46,38,34
287705.616030305,8664202.90232973,56,35,44
287705.675884256,8664202.90232973,57,40,43
287705.735738208,8664202.90232973,51,49,40
287705.795592159,8664202.90232973,56,42,44
287697.835016594,8664202.84247578,61,29,40
287697.894870545,8664202.84247578,74,32,33
287697.954724497,8664202.84247578,78,38,46
287698.014578449,8664202.84247578,59,63,56
287698.0744324,8664202.84247578,68,62,40
287698.134286352,8664202.84247578,41,72,34
287698.194140304,8664202.84247578,32,50,52
287698.253994255,8664202.84247578,50,34,29
287698.313848207,8664202.84247578,49,29,28
287698.373702158,8664202.84247578,53,22,26
287698.43355611,8664202.84247578,50,24,26
287698.493410062,8664202.84247578,51,25,25
287698.553264013,8664202.84247578,55,20,32
287698.613117965,8664202.84247578,56,15,35
287698.672971917,8664202.84247578,53,17,34
287698.732825868,8664202.84247578,53,16,36
287698.79267982,8664202.84247578,53,16,36
287698.852533771,8664202.84247578,55,13,39
287698.912387723,8664202.84247578,54,12,39
287698.972241675,8664202.84247578,48,20,33
287699.032095626,8664202.84247578,47,21,39
287699.091949578,8664202.84247578,48,25,30
287699.15180353,8664202.84247578,51,29,22
287699.211657481,8664202.84247578,51,27,35
287699.271511433,8664202.84247578,70,23,37
287699.331365384,8664202.84247578,84,19,49
287699.391219336,8664202.84247578,94,20,53
287699.451073288,8664202.84247578,111,16,54
287699.510927239,8664202.84247578,108,17,61
287699.570781191,8664202.84247578,104,16,72
287699.630635143,8664202.84247578,107,15,69
287699.690489094,8664202.84247578,111,14,66
287699.750343046,8664202.84247578,97,26,47
287699.810196997,8664202.84247578,90,18,57
287699.870050949,8664202.84247578,82,21,42
287699.929904901,8664202.84247578,67,24,45
287699.989758852,8664202.84247578,62,28,33
287700.049612804,8664202.84247578,58,25,36
287700.109466756,8664202.84247578,54,24,39
287700.169320707,8664202.84247578,48,27,38
287700.229174659,8664202.84247578,48,27,38
287700.28902861,8664202.84247578,64,24,32
287700.348882562,8664202.84247578,74,23,37
287700.408736514,8664202.84247578,87,22,38
287700.468590465,8664202.84247578,101,17,49
287700.528444417,8664202.84247578,103,19,52
287700.588298369,8664202.84247578,105,15,57
287700.64815232,8664202.84247578,103,21,51
287700.708006272,8664202.84247578,104,22,46
287700.767860223,8664202.84247578,108,19,50
287700.827714175,8664202.84247578,109,21,52
287700.887568127,8664202.84247578,106,24,54
287700.947422078,8664202.84247578,111,16,61
287701.00727603,8664202.84247578,95,22,54
287701.067129981,8664202.84247578,81,21,38
287701.126983933,8664202.84247578,69,20,34
287701.186837885,8664202.84247578,53,22,37
287701.246691836,8664202.84247578,64,16,32
287701.306545788,8664202.84247578,68,19,28
287701.36639974,8664202.84247578,77,21,24
287701.426253691,8664202.84247578,86,16,32
287701.486107643,8664202.84247578,90,12,42
287701.545961594,8664202.84247578,95,15,40
287701.605815546,8664202.84247578,73,23,29
287701.665669498,8664202.84247578,78,16,32
287701.725523449,8664202.84247578,74,14,31
287701.785377401,8664202.84247578,65,20,27
287701.845231352,8664202.84247578,59,23,29
287701.905085304,8664202.84247578,54,25,30
287701.964939256,8664202.84247578,54,25,30
287702.024793207,8664202.84247578,50,27,33
287702.084647159,8664202.84247578,43,33,34
287702.144501111,8664202.84247578,47,33,33
287702.204355062,8664202.84247578,49,28,51
287702.264209014,8664202.84247578,45,35,42
287702.324062965,8664202.84247578,50,31,40
287702.383916917,8664202.84247578,52,32,27
287702.443770869,8664202.84247578,53,28,27
287702.50362482,8664202.84247578,55,22,34
287702.563478772,8664202.84247578,62,26,26
287702.623332724,8664202.84247578,57,26,31
287702.683186675,8664202.84247578,54,27,30
287702.743040627,8664202.84247578,57,27,28
287702.802894578,8664202.84247578,60,24,29
287702.86274853,8664202.84247578,54,31,18
287702.922602482,8664202.84247578,49,28,24
287702.982456433,8664202.84247578,50,24,29
287703.042310385,8664202.84247578,50,23,27
287703.102164337,8664202.84247578,50,22,28
287703.162018288,8664202.84247578,56,19,27
287703.22187224,8664202.84247578,53,17,33
287703.281726191,8664202.84247578,44,24,34
287703.341580143,8664202.84247578,46,29,29
287703.401434095,8664202.84247578,54,24,30
287703.461288046,8664202.84247578,54,23,29
287703.521141998,8664202.84247578,51,27,26
287703.58099595,8664202.84247578,46,28,31
287703.640849901,8664202.84247578,47,27,30
287703.700703853,8664202.84247578,53,25,29
287703.760557804,8664202.84247578,55,28,26
287703.820411756,8664202.84247578,45,34,26
287703.880265708,8664202.84247578,42,31,27
287703.940119659,8664202.84247578,46,24,31
287703.999973611,8664202.84247578,46,26,28
287704.059827563,8664202.84247578,40,30,28
287704.119681514,8664202.84247578,40,29,34
287704.179535466,8664202.84247578,40,30,35
287704.239389417,8664202.84247578,40,30,35
287704.299243369,8664202.84247578,40,30,35
287704.359097321,8664202.84247578,39,31,35
287704.418951272,8664202.84247578,42,27,38
287704.478805224,8664202.84247578,47,26,35
287704.538659176,8664202.84247578,50,29,28
287704.598513127,8664202.84247578,48,31,39
287704.658367079,8664202.84247578,59,31,33
287704.71822103,8664202.84247578,66,32,38
287704.778074982,8664202.84247578,57,43,36
287704.837928934,8664202.84247578,57,40,40
287704.897782885,8664202.84247578,49,40,47
287704.957636837,8664202.84247578,48,36,43
287705.017490788,8664202.84247578,45,38,27
287705.07734474,8664202.84247578,34,40,30
287705.137198692,8664202.84247578,45,34,31
287705.197052643,8664202.84247578,51,33,32
287705.256906595,8664202.84247578,54,31,36
287705.316760547,8664202.84247578,57,28,48
287705.376614498,8664202.84247578,53,34,43
287705.43646845,8664202.84247578,53,32,41
287705.496322401,8664202.84247578,56,29,44
287705.556176353,8664202.84247578,53,33,42
287705.616030305,8664202.84247578,55,45,32
287705.675884256,8664202.84247578,52,43,46
287705.735738208,8664202.84247578,51,46,43
287705.795592159,8664202.84247578,57,44,39
287697.835016594,8664202.78262183,70,30,34
287697.894870545,8664202.78262183,79,34,31
287697.954724497,8664202.78262183,75,44,49
287698.014578449,8664202.78262183,56,74,53
287698.0744324,8664202.78262183,62,60,73
287698.134286352,8664202.78262183,38,78,42
287698.194140304,8664202.78262183,33,50,62
287698.253994255,8664202.78262183,55,30,37
287698.313848207,8664202.78262183,54,27,33
287698.373702158,8664202.78262183,56,20,37
287698.43355611,8664202.78262183,52,23,36
287698.493410062,8664202.78262183,51,25,32
287698.553264013,8664202.78262183,55,28,21
287698.613117965,8664202.78262183,56,24,23
287698.672971917,8664202.78262183,54,23,24
287698.732825868,8664202.78262183,52,22,26
287698.79267982,8664202.78262183,52,22,26
287698.852533771,8664202.78262183,49,22,29
287698.912387723,8664202.78262183,48,21,32
287698.972241675,8664202.78262183,47,22,33
287699.032095626,8664202.78262183,48,21,34
287699.091949578,8664202.78262183,48,24,32
287699.15180353,8664202.78262183,56,27,24
287699.211657481,8664202.78262183,59,27,34
